Dấu thời gian,1. Please specify your age: ,2. Please select your gender:,3. Please select your College:,4. Please indicate your current Year of Study:,5. What is your GPA for the last semester?,6.  Are you currently employed (including part-time and internship)?,"7. On average, how many hours a day do you spend on entertainment/leisure/recreational activities? ","8. On average, how many hours do you spend self-studying a day?",9. Which of the following environments best describe your self-study location?,"10. On average, how many hours do you sleep a day?",11. To what extent do you agree with the following statements? [Frequent procrastination can have a negative impact on my long term learning process.],11. To what extent do you agree with the following statements? [I tend to procrastinate when deadlines are still far away.],11. To what extent do you agree with the following statements? [Creating a study plan help me reduce my procrastination],11. To what extent do you agree with the following statements? [I am confident in my ability to start a task early when necessary],11. To what extent do you agree with the following statements? [Starting a task early makes me feel uncomfortable and difficult to maintain over time.],"11. To what extent do you agree with the following statements? [To ensure data quality, please select the third option from the left.]",11. To what extent do you agree with the following statements? [Procrastination provide a sense of comfort or convenience.],11. To what extent do you agree with the following statements? [My peers consider procrastination to be quite normal.],11. To what extent do you agree with the following statements? [I have complete control over my procrastination habit.],11. To what extent do you agree with the following statements? [I plan to begin my tasks sooner starting next month.],11. To what extent do you agree with the following statements? [I often delay working on assignments until close to the deadline.],12. How often are you able to maintain a high level of focus throughout your self-study period? ,13. How often do you delay working on assignments for courses that you find uninteresting or unenjoyable? ,Who referred you to this survey?,What is your major,What is your major,4. Please indicate your current Year of Study:,5. What is your GPA for the last semester?,6.  Are you currently employed (including part-time and internship)?,"7. On average, how many hours a day do you spend on entertainment/leisure/recreational activities? ","8. On average, how many hours do you spend self-studying a day?",9. Which of the following environments best describe your self-study location?,"10. On average, how many hours do you sleep a day?",11. To what extent do you agree with the following statements? [Frequent procrastination can have a negative impact on my long term learning process.],11. To what extent do you agree with the following statements? [I tend to procrastinate when deadlines are still far away.],11. To what extent do you agree with the following statements? [Creating a study plan help me reduce my procrastination],11. To what extent do you agree with the following statements? [I am confident in my ability to start a task early when necessary],11. To what extent do you agree with the following statements? [Starting a task early makes me feel uncomfortable and difficult to maintain over time.],"11. To what extent do you agree with the following statements? [To ensure data quality, please select the third option from the left.]",11. To what extent do you agree with the following statements? [Procrastination provide a sense of comfort or convenience.],11. To what extent do you agree with the following statements? [My peers consider procrastination to be quite normal.],11. To what extent do you agree with the following statements? [I have complete control over my procrastination habit.],11. To what extent do you agree with the following statements? [I plan to begin my tasks sooner starting next month.],11. To what extent do you agree with the following statements? [I often delay working on assignments until close to the deadline.],12. How often are you able to maintain a high level of focus throughout your self-study period? ,13. How often do you delay working on assignments for courses that you find uninteresting or unenjoyable? ,Who referred you to this survey?
14/05/2026 1:03:01,19,Female,CBM (Business and Management),1st Year,3.5 – 4.0,No,6,3,"Private space (i.e. bedroom, home office)",7,Strongly Agree,Strongly Agree,Somewhat Agree,Neutral,Strongly Disagree,Somewhat Disagree,Disagree,Neutral,Strongly Disagree,Somewhat Agree,Strongly Agree,5,7,Hỏa Thúy Quỳnh,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 1:04:28,18,Female,CBM (Business and Management),1st Year,3.5 – 4.0,Yes,4,4,"Private space (i.e. bedroom, home office)",4,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Neutral,Somewhat Disagree,Disagree,Disagree,4,5,Hỏa Thúy Quỳnh,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 1:04:37,18,Male,CECS (Engineering & Computer Science),1st Year,3.5 – 4.0,No,3,6,"Private space (i.e. bedroom, home office)",5,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Disagree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Agree,Disagree,5,3,"Đặng Tuấn Kiệt, Bùi Duy Linh",,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 1:07:43,18,Female,CBM (Business and Management),1st Year,3.0 – 3.49,No,2,7,"Flexible, could be private place or open learning space",6,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,5,6,"Đặng Tuấn Kiệt, Hỏa Thúy Quỳnh",,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 1:12:37,18,Male,CECS (Engineering & Computer Science),1st Year,3.0 – 3.49,Yes,4,4,Collaborative space (i.e. group study room),8,Strongly Agree,Strongly Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,5,7,Hỏa Thúy Quỳnh,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 1:16:11,19,Prefer not to say,CECS (Engineering & Computer Science),2nd Year,2.5 – 2.99,Yes,6,5,"Private space (i.e. bedroom, home office)",6,Agree,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Disagree,Somewhat Disagree,Neutral,3,6,Bill.,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 1:16:13,19,Male,CECS (Engineering & Computer Science),2nd Year,3.0 – 3.49,No,6,7,"Private space (i.e. bedroom, home office)",5,Neutral,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Agree,6,5,Hỏa Thúy Quỳnh,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 1:26:17,18,Male,CECS (Engineering & Computer Science),1st Year,3.0 – 3.49,No,4,6,"Private space (i.e. bedroom, home office)",7,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Neutral,Agree,Strongly Agree,Strongly Disagree,6,1,"Đặng Tuấn Kiệt, Hỏa Thúy Quỳnh",,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 1:30:23,19,Female,CBM (Business and Management),1st Year,3.5 – 4.0,Yes,9,9,"Private space (i.e. bedroom, home office)",7,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,5,6,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 1:31:25,18,Female,CBM (Business and Management),1st Year,3.0 – 3.49,No,4,4,"Private space (i.e. bedroom, home office)",5,Strongly Agree,Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,2,6,Hỏa Thúy Quỳnh,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 1:40:16,18,Male,CECS (Engineering & Computer Science),1st Year,3.0 – 3.49,No,6,4,"Private space (i.e. bedroom, home office)",6,Neutral,Somewhat Agree,Somewhat Disagree,Agree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,4,5,Lê Huy Tâm,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 1:45:48,18,Female,CBM (Business and Management),1st Year,3.0 – 3.49,Yes,5,5,Collaborative space (i.e. group study room),7,Agree,Neutral,Strongly Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,4,5,Hỏa Thúy Quỳnh,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 1:48:25,19,Male,CECS (Engineering & Computer Science),1st Year,3.5 – 4.0,No,7,4,Any quiet space,7,Strongly Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Agree,Disagree,Strongly Disagree,Neutral,5,5,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 1:52:51,19,Female,CAS (Arts and Sciences),1st Year,3.5 – 4.0,Yes,8,4,Cafes,6,Strongly Agree,Somewhat Disagree,Agree,Agree,Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Agree,Disagree,6,3,Hỏa Thúy Quỳnh,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 3:13:25,20,Prefer not to say,CECS (Engineering & Computer Science),3rd Year,2.5 – 2.99,No,6,2,Collaborative space (i.e. group study room),8,Strongly Agree,Somewhat Agree,Somewhat Disagree,Neutral,Disagree,Somewhat Disagree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,4,6,Bill,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 7:38:45,19,Female,CBM (Business and Management),1st Year,3.5 – 4.0,No,5,2,"Private space (i.e. bedroom, home office)",6,Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,2,6,Hỏa Thúy Quỳnh,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 7:50:44,18,Male,CBM (Business and Management),1st Year,3.0 – 3.49,Yes,4,5,"Private space (i.e. bedroom, home office)",7,Strongly Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Neutral,Somewhat Agree,Agree,Agree,5,6,Hỏa Thúy Quỳnh,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 8:09:53,19,Female,CBM (Business and Management),1st Year,3.5 – 4.0,Yes,5,12,Open learning space (i.e. university library),7,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,5,7,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 8:23:27,19,Male,CECS (Engineering & Computer Science),1st Year,3.5 – 4.0,No,4,3,"Private space (i.e. bedroom, home office)",7,Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Neutral,Neutral,Strongly Disagree,7,2,Phan Minh Đức,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 8:30:16,18,Male,CECS (Engineering & Computer Science),1st Year,2.5 – 2.99,No,0.25,10,Open learning space (i.e. university library),7.5,Strongly Agree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Somewhat Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,7,4,Phan Minh Đức,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 8:57:33,18,Female,CECS (Engineering & Computer Science),1st Year,3.0 – 3.49,No,3,2,"Private space (i.e. bedroom, home office)",7,Agree,Strongly Agree,Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Neutral,Somewhat Agree,6,6,Nguyễn Hà My,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 8:59:01,19,Male,CECS (Engineering & Computer Science),1st Year,3.0 – 3.49,No,6,5,Open learning space (i.e. university library),6,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,5,5,Hỏa Thúy Quỳnh,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 9:05:36,19,Male,CBM (Business and Management),1st Year,3.0 – 3.49,No,3,4,Cafes,6,Agree,Agree,Neutral,Neutral,Neutral,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,5,7,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 9:07:28,19,Female,CBM (Business and Management),1st Year,3.5 – 4.0,Yes,4,7,"Private space (i.e. bedroom, home office)",7,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,5,6,Hỏa Thúy Quỳnh,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 9:12:57,18,Female,CBM (Business and Management),1st Year,3.5 – 4.0,No,8,3,"Private space (i.e. bedroom, home office)",8,Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,5,7,"Đặng Tuấn Kiệt, Lê Huy Tâm",,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 9:14:58,18,Male,CBM (Business and Management),1st Year,3.5 – 4.0,Yes,3,5,Open learning space (i.e. university library),7,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Disagree,Somewhat Disagree,Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Disagree,2,3,Hỏa Thúy Quỳnh,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 9:15:47,19,Prefer not to say,CBM (Business and Management),1st Year,3.0 – 3.49,Yes,2,1.5,"Private space (i.e. bedroom, home office)",6,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Disagree,Neutral,Somewhat Agree,3,6,Hỏa Thúy Quỳnh,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 9:17:41,18,Male,CECS (Engineering & Computer Science),1st Year,3.5 – 4.0,No,6,3,"Private space (i.e. bedroom, home office)",7,Somewhat Agree,Somewhat Agree,Agree,Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Disagree,Somewhat Disagree,6,4,"Đặng Tuấn Kiệt, Nguyễn Trọng Nhân",,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 9:22:55,19,Female,CECS (Engineering & Computer Science),1st Year,3.0 – 3.49,No,4,5,"Private space (i.e. bedroom, home office)",8,Agree,Somewhat Agree,Agree,Agree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,4,6,Bill.,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 9:27:47,20,Female,CAS (Arts and Sciences),2nd Year,3.0 – 3.49,Yes,5,7,Cafes,5,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,5,5,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 9:29:38,20,Female,CECS (Engineering & Computer Science),2nd Year,3.0 – 3.49,Yes,6,4,"Private space (i.e. bedroom, home office)",6,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Neutral,Strongly Agree,Neutral,5,4,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 9:31:12,20,Male,CBM (Business and Management),3rd Year,3.0 – 3.49,Yes,2,7,"Private space (i.e. bedroom, home office)",5,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Agree,Neutral,Neutral,Neutral,Somewhat Agree,Disagree,Somewhat Disagree,5,4,Đỗ Vĩnh Nhi,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 9:31:26,18,Male,CECS (Engineering & Computer Science),1st Year,< 2.0,No,2,4,Cafes,5,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Disagree,3,5,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 9:33:32,19,Male,CECS (Engineering & Computer Science),1st Year,3.5 – 4.0,Yes,5,5,"Private space (i.e. bedroom, home office)",7,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,5,6,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 9:34:52,18,Male,CECS (Engineering & Computer Science),1st Year,2.5 – 2.99,No,6,3,Open learning space (i.e. university library),6,Strongly Agree,Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Agree,Neutral,Somewhat Agree,Agree,3,5,Nguyễn Trọng Nhân,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 9:39:33,21,Female,CBM (Business and Management),4th Year,3.0 – 3.49,Yes,5,2,"Private space (i.e. bedroom, home office)",6,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Neutral,5,6,Hỏa Thúy Quỳnh,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 9:43:39,19,Female,CAS (Arts and Sciences),2nd Year,3.5 – 4.0,No,3,8,Cafes,6,Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,6,3,Đỗ Vĩnh Nhi,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 9:44:45,18,Male,CECS (Engineering & Computer Science),1st Year,3.0 – 3.49,No,3,10,Collaborative space (i.e. group study room),6,Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Agree,Neutral,4,1,Đỗ Vĩnh Nhi,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 9:49:39,20,Male,CECS (Engineering & Computer Science),2nd Year,3.5 – 4.0,Yes,2,6,Open learning space (i.e. university library),6,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Somewhat Agree,5,5,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 9:51:31,18,Female,CBM (Business and Management),1st Year,3.0 – 3.49,Yes,2,1,Cafes,5,Strongly Agree,Agree,Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,4,5,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 9:51:50,19,Female,CECS (Engineering & Computer Science),1st Year,3.0 – 3.49,Yes,10,8,Dormitory ,6,Somewhat Agree,Agree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Strongly Agree,4,6,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 9:52:30,20,Female,CECS (Engineering & Computer Science),1st Year,3.0 – 3.49,No,3,5,"Private space (i.e. bedroom, home office)",6,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,4,6,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
